"logger" "msg"
"1" "rush" "[rush] Writting 1 hash(es) with 1 field(s)"
"2" "rush" "[rush] Serialzing 1 value(s) to 208 bytes"
"3" "bbotk" "[bbotk] Evaluating hyperparameter configuration x=0.5358, iter=1."
"4" "bbotk" "[bbotk] Adding hotstart stack to learner."
"5" "mlr3" "[mlr3] Running resample() via future with 3 iterations"
"6" "mlr3" "[mlr3] Applying learner 'classif.debug' on task 'pima' (iter 1/3)"
"7" "mlr3" "[mlr3] Subsetting task 'pima' to 512 rows"
"8" "mlr3" "[mlr3] Calling train method of Learner 'classif.debug' on task 'pima' with 512 observations"
"9" "mlr3" "[mlr3] Learner 'classif.debug' on task 'pima' succeeded to train a model"
"10" "mlr3" "[mlr3] Creating Prediction for predict set 'test'"
"11" "mlr3" "[mlr3] Subsetting task 'pima' to 256 rows"
"12" "mlr3" "[mlr3] Calling predict method of Learner 'classif.debug' on task 'pima' with 256 observations"
"13" "mlr3" "[mlr3] Learner 'classif.debug' returned an object of class 'PredictionDataClassif'"
"14" "mlr3" "[mlr3] Applying learner 'classif.debug' on task 'pima' (iter 2/3)"
"15" "mlr3" "[mlr3] Subsetting task 'pima' to 512 rows"
"16" "mlr3" "[mlr3] Calling train method of Learner 'classif.debug' on task 'pima' with 512 observations"
"17" "mlr3" "[mlr3] Learner 'classif.debug' on task 'pima' succeeded to train a model"
"18" "mlr3" "[mlr3] Creating Prediction for predict set 'test'"
"19" "mlr3" "[mlr3] Subsetting task 'pima' to 256 rows"
"20" "mlr3" "[mlr3] Calling predict method of Learner 'classif.debug' on task 'pima' with 256 observations"
"21" "mlr3" "[mlr3] Learner 'classif.debug' returned an object of class 'PredictionDataClassif'"
"22" "mlr3" "[mlr3] Applying learner 'classif.debug' on task 'pima' (iter 3/3)"
"23" "mlr3" "[mlr3] Subsetting task 'pima' to 512 rows"
"24" "mlr3" "[mlr3] Calling train method of Learner 'classif.debug' on task 'pima' with 512 observations"
"25" "mlr3" "[mlr3] Learner 'classif.debug' on task 'pima' succeeded to train a model"
"26" "mlr3" "[mlr3] Creating Prediction for predict set 'test'"
"27" "mlr3" "[mlr3] Subsetting task 'pima' to 256 rows"
"28" "mlr3" "[mlr3] Calling predict method of Learner 'classif.debug' on task 'pima' with 256 observations"
"29" "mlr3" "[mlr3] Learner 'classif.debug' returned an object of class 'PredictionDataClassif'"
"30" "mlr3" "[mlr3] Adding 3 learner(s) to the hotstart stack."
"31" "bbotk" "[bbotk] Discarding models."
"32" "rush" "[rush] Writting 1 hash(es) with 2 field(s)"
